IsCon,VoiceTraffic,HRVT,PDCH,Traffic,DLTraffic,HRR,SDCon,Access Performance
1,13.36,13.36,24.29,421.2691699,282.8215332,1,0.023506942,0.361726
1,28.07,19.76,1,3.161630859,2.232060547,0.7039544,0,0.511666
1,1.9,0,3.55,3.569707031,2.577880859,0,0,0.686261
1,20.4,20.24,10.97,70.26172852,48.77087891,0.992156863,0,0.837281
1,1.98,0.3,3.08,6.417734375,3.987431641,0.151515152,0,0.84968
1,4.8,0.04,1.85,3.565429688,2.076904297,0.008333333,0,0.84536
1,4.8,0.04,1.85,3.565429688,2.076904297,0.008333333,0,0.84536
1,4.8,0.04,1.85,3.565429688,2.076904297,0.008333333,0,0.84536
1,6.49,0,23.64,18.49012695,10.65967773,0,0,0.858742
1,36.03,31.58,4.91,12.5903418,8.745117188,0.876491812,0,0.876346
1,36.03,31.58,4.91,12.5903418,8.745117188,0.876491812,0,0.876346
1,10.88,10.83,4.11,21.08436523,15.78918945,0.995404412,0,0.886255
1,14.99,14.99,1,0.999277344,0.571416016,1,0,0.87826
1,2.23,0,4.56,10.79419922,7.870488281,0,0,0.9
1,23.39,23.38,4.08,30.67126953,21.42151367,0.999572467,0.000396904,0.920776
1,23.39,23.38,4.08,30.67126953,21.42151367,0.999572467,0.000396904,0.920776
1,8.53,8.53,3.29,6.957890625,4.518925781,1,0,0.920231
1,72.32,16.13,15.2,85.70716797,58.83459961,0.223036504,0,0.944663
1,8.62,2.45,1,5.390390625,3.997685547,0.284222738,0,0.953352
1,47.2,16.19,12.1,136.0776465,91.53967773,0.343008475,0,0.95416
1,4.54,0,0.79,2.872695313,1.907841797,0,0,0.957352
1,12.41,12.23,4.69,55.6969043,42.9128418,0.985495568,0,0.956327
1,23.06,0,11.48,22.4731543,15.47644531,0,0,0.964901
1,23.06,0,11.48,22.4731543,15.47644531,0,0,0.964901
1,14.16,10.63,7.86,47.16943359,28.33154297,0.750706215,0,0.973201
1,1.22,0,1.28,1.785400391,1.246826172,0,0,0.914893
1,2.43,0.57,0.88,2.4665625,1.425908203,0.234567901,0,0.975318
1,2.66,0.77,8.37,61.66041016,48.04761719,0.289473684,0.005234356,0.967691
1,13.75,12.52,1,4.296875,2.933105469,0.910545455,0,0.979661
1,8.44,8.42,6.43,43.68469727,35.69140625,0.997630332,0,0.975991
1,12,9.21,19.8,42.39527344,32.30383789,0.7675,0,0.978123
1,12,9.21,19.8,42.39527344,32.30383789,0.7675,0,0.978123
1,6.57,0,1,0.8728125,0.712167969,0,0,0.923741
1,8.89,0,7.85,44.93384766,32.12634766,0,0,0.98118
1,53.44,15.85,2.84,26.61731445,16.90979492,0.296594311,0,0.978705
1,2.31,2.31,2.13,0.956064453,0.510869141,1,0,0.982857
1,42.58,15.15,4.15,80.49244141,53.56446289,0.355800845,0,0.983412
1,4.17,4.17,0.78,0.946542969,0.749638672,1,0,0.977045
1,40.56,40.53,9.43,57.60266602,40.89135742,0.999260355,0,0.982814
1,40.56,40.53,9.43,57.60266602,40.89135742,0.999260355,0,0.982814
1,2.81,0,1.91,5.154667969,3.385625,0,0,0.981989
1,45.2,41.67,3.13,35.39185547,24.52112305,0.921902655,0,0.984691
1,9.17,6.69,2.75,41.69410156,27.49109375,0.72955289,0,0.987931
1,27.38,27.38,9.04,34.93556641,23.30713867,1,0,0.987503
1,27.38,27.38,9.04,34.93556641,23.30713867,1,0,0.987503
1,4.87,0,3.46,5.243535156,3.809208984,0,0,0.955852
1,3.35,0.01,4.79,34.34594727,28.92041016,0.002985075,0.000859107,0.977941
1,4.35,3.57,5.43,75.88649414,56.02564453,0.820689655,0,0.987668
1,3.2,0,2.89,1.972177734,1.317636719,0,0,0.985452
1,6.53,2.98,3.26,7.261611328,4.87390625,0.456355283,0,0.988281
1,4.65,0.54,1,4.164921875,2.884160156,0.116129032,0,0.991257
1,3.48,0,0.39,0.476201172,0.345458984,0,0,0.98814
1,16.62,14.53,7.6,68.61330078,46.60450195,0.874247894,0,0.993693
1,8.67,8.67,8.64,27.86230469,20.22216797,1,0.003270646,0.968745
1,5.11,0,7.23,10.30702148,7.280400391,0,0,0.993643
1,23.25,22.93,1.81,4.532597656,3.024658203,0.986236559,0,0.991981
1,9.21,2.36,31.24,177.5553125,131.172002,0.256243214,0,0.994081
1,9.21,2.36,31.24,177.5553125,131.172002,0.256243214,0,0.994081
1,9.21,2.36,31.24,177.5553125,131.172002,0.256243214,0,0.994081
1,6.21,0,6.48,5.668710938,3.891484375,0,0,0.988572
1,5.23,0,1.51,6.217412109,5.054443359,0,0,0.98476
1,50.45,48.5,3.12,44.58630859,31.03455078,0.961347869,0,0.994037
1,2.9,2.88,5.21,40.96423828,35.74841797,0.993103448,0,0.995098
1,2.9,2.88,5.21,40.96423828,35.74841797,0.993103448,0,0.995098
1,11.62,0,4.98,26.57020508,20.31080078,0,0,0.994018
1,11.62,0,4.98,26.57020508,20.31080078,0,0,0.994018
1,18.9,11.53,5.15,27.29626953,21.95678711,0.61005291,0,0.992239
1,11.05,0,15.57,42.48366211,31.31470703,0,0,0.991561
1,11.05,0,15.57,42.48366211,31.31470703,0,0,0.991561
1,11.05,0,15.57,42.48366211,31.31470703,0,0,0.991561
1,11.05,0,15.57,42.48366211,31.31470703,0,0,0.991561
1,6.66,0,4.3,10.87855469,8.203251953,0,0,0.985339
1,22.19,16.01,71.55,151.9652246,121.1920215,0.721496169,0.151269682,0.804249
1,7.19,0,9.43,12.01294922,8.549199219,0,0,0.990634
1,10.23,8.99,4.6,31.84949219,23.39355469,0.878787879,0.000732815,0.995696
1,7.61,0,12.34,105.719375,81.64112305,0,0,0.996372
1,7.61,0,12.34,105.719375,81.64112305,0,0,0.996372
1,16.82,16.62,44.83,384.8896484,288.4870605,0.988109394,0,0.992886
1,25.11,23.36,7.07,15.05555664,10.72351563,0.930306651,0,0.992064
1,24.76,14.63,5.96,113.1676074,67.40698242,0.590872375,0,0.891652
1,15.49,1.38,14.6,75.0925293,56.76855469,0.089089735,0,0.994475
1,17.87,8.62,20.88,81.44861328,60.57996094,0.482372692,0,0.99449
1,7.44,7.43,8.75,37.66981445,25.30603516,0.998655914,0,0.992566
1,19.63,17.04,2.83,13.98609375,11.53711914,0.868059093,0,0.997647
1,12.82,4.94,8.95,71.41822266,48.73950195,0.385335413,0,0.995516
1,12.21,0,4.98,12.59180664,7.376230469,0,0,0.99211
1,32.03,32.03,26.29,61.98767578,42.28162109,1,0,0.994177
1,26.99,4.3,13.95,44.22583984,34.29272461,0.159318266,0,0.997511
1,13.59,0,7.81,39.56421875,30.60328125,0,0,0.999086
1,9.38,9.38,2.86,10.92553711,8.804443359,1,0,0.996582
1,41.52,26.81,5.58,52.72694336,36.29517578,0.645712909,0,0.997643
1,37.72,37.63,21.09,63.33924805,44.71741211,0.997613998,9.03E-05,0.994278
1,15.53,6.22,6.81,50.3978418,40.11731445,0.400515132,0.170517277,0.844609
1,30.19,29.66,25.02,47.57764648,34.1684668,0.982444518,0,0.999153
1,15.73,5.09,5.44,39.23524414,29.83777344,0.323585505,0,0.999134
1,27.58,0.26,23.74,46.60889648,30.21277344,0.009427121,0.000323334,0.892709
1,25.31,1.63,12.17,85.13368164,65.64283203,0.064401422,0,0.998845
1,76.24,18.33,12.74,153.6753027,106.0933887,0.240424974,0,0.999408
1,76.24,18.33,12.74,153.6753027,106.0933887,0.240424974,0,0.999408
0,78.97,43.15,13.72,28.964375,19.61304688,0.546410029,0,0.999394
0,67.37,21.71,14.17,32.0603125,24.25793945,0.32225026,0,0.99813
0,60.4,45.26,12.33,91.95900391,64.05396484,0.749337748,0,0.999471
0,60.31,30.3,50.43,343.1197559,252.1982422,0.502404245,0,0.999881
0,60.31,30.3,50.43,343.1197559,252.1982422,0.502404245,0,0.999881
0,60.31,30.3,50.43,343.1197559,252.1982422,0.502404245,0,0.999881
0,59.97,48.73,22.22,62.3243457,43.10913086,0.812572953,0,0.99929
0,57.8,57.8,39.71,283.6753027,216.7528125,1,0,0.999556
0,56.66,22.09,19.04,107.4471484,78.9465332,0.389869396,0,0.999682
0,55.58,51,3.82,49.89306641,33.36865234,0.917596258,0,2.000761
0,54.72,5.04,33.05,104.2388965,76.14514648,0.092105263,0,0.999092
0,54.72,5.04,33.05,104.2388965,76.14514648,0.092105263,0,0.999092
0,54.44,7.64,10.83,55.60181641,40.24146484,0.140337987,0,0.998914
0,54.44,7.64,10.83,55.60181641,40.24146484,0.140337987,0,0.998914
0,54.3,12.34,14.21,92.72876953,71.68738281,0.227255985,0,0.999723
0,54.11,54.09,21.44,70.99793945,50.01379883,0.999630383,0,0.998999
0,52.63,29.56,9,133.1657813,85.44226563,0.56165685,0,0.998989
0,52.63,29.56,9,133.1657813,85.44226563,0.56165685,0,0.998989
0,52.13,0.78,8.1,76.74623047,52.67701172,0.014962594,0,1
0,49.05,5.61,9.29,52.42016602,39.80175781,0.114373089,0,1
0,48.82,48.06,22.8,178.1225684,129.6218262,0.98443261,0.021057868,0.979107
0,48.66,4.18,20.53,79.33204102,60.04089844,0.085902178,0,0.997651
0,47.72,47.72,7.97,145.1756738,101.3730566,1,0,0.99956
0,47.55,23.79,35.08,295.2938281,217.5510254,0.500315457,0,1
0,47.55,23.79,35.08,295.2938281,217.5510254,0.500315457,0,1
0,46.64,46.56,17.68,11.79408203,7.665537109,0.998284734,0,0.999037
0,46.64,46.56,17.68,11.79408203,7.665537109,0.998284734,0,0.999037
0,46.47,46.21,14.16,37.46436523,28.73767578,0.994404992,0,1
0,46.47,46.21,14.16,37.46436523,28.73767578,0.994404992,0,1
0,46.43,0.03,14.26,90.32178711,61.85461914,0.000646134,0,0.999627
0,46.38,46.38,39.99,311.5695996,230.9228613,1,0,0.999559
0,45.95,39.31,12.96,80.13454102,59.08448242,0.855495103,0,1.000403
0,45.13,45.07,51.97,132.946416,101.7047168,0.998670507,0,0.994964
0,45.07,40.76,81.58,618.8012793,412.739873,0.904370978,0,0.99986
0,45.07,40.76,81.58,618.8012793,412.739873,0.904370978,0,0.99986
0,45.07,40.76,81.58,618.8012793,412.739873,0.904370978,0,0.99986
0,44.52,44.07,34.82,280.8901367,191.4943848,0.989892183,0.000571719,0.999233
0,44.5,30.43,23.53,73.16211914,54.33679688,0.683820225,0,0.99823
0,44.5,30.43,23.53,73.16211914,54.33679688,0.683820225,0,0.99823
0,43.03,23.04,24.52,97.08277344,69.10242188,0.53544039,0,0.999365
0,42.77,42.7,24.89,89.73402344,70.62146484,0.998363339,0,0.997193
0,42.64,9.28,15.97,100.3298438,75.58166992,0.217636023,0,0.998548
0,42.64,9.28,15.97,100.3298438,75.58166992,0.217636023,0,0.998548
0,42.53,0,3.8,2.030410156,1.3884375,0,0,0.998696
0,42.52,32.7,11.28,79.55811523,58.93676758,0.769049859,0,0.99685
0,42.45,11.44,34.19,317.9610742,246.9083301,0.269493522,0,0.998006
0,41.83,41.81,7.89,52.08119141,38.84290039,0.999521874,0,1
0,41.83,41.81,7.89,52.08119141,38.84290039,0.999521874,0,1
0,41.03,1.97,15.66,73.25123047,54.97302734,0.048013649,0,1.000316
0,41.03,1.97,15.66,73.25123047,54.97302734,0.048013649,0,1.000316
0,40.76,40.67,12.55,69.43166016,53.18995117,0.997791953,0,0.997786
0,40.71,38.17,3.84,58.72658203,39.30884766,0.937607467,0,1.000096
0,40.69,40.55,15.38,70.50526367,49.40796875,0.996559351,0,0.998847
0,40.32,10.17,8.89,51.54138672,40.19189453,0.252232143,0,0.998571
0,40.32,0,48.94,236.1213477,179.5433398,0,0,0.999237
0,40.32,0,48.94,236.1213477,179.5433398,0,0,0.999237
0,40.16,31.38,33.06,116.6578516,89.45533203,0.781374502,0,0.998265
0,40,0.39,29.67,319.7052051,174.8504688,0.00975,0,0.999635
0,39.87,29.47,44.81,295.3319238,219.2622168,0.739152245,0,0.99847
0,39.58,0.55,4.2,11.52405273,8.743164063,0.013895907,0,1
0,39.55,34.7,9.25,10.45875977,6.981943359,0.877370417,0,0.993328
0,39.55,34.7,9.25,10.45875977,6.981943359,0.877370417,0,0.993328
0,39.12,0.02,7.29,53.70508789,39.58326172,0.000511247,0,0.999425
0,39.1,38.91,52.3,106.6101172,84.89587891,0.995140665,0,0.999143
0,39,0.65,14.34,136.4560645,101.840459,0.016666667,0,1.000529
0,38.42,15.22,12.06,93.81311523,74.41894531,0.39614784,0,0.999718
0,38.37,29.87,12.07,57.48207031,43.05347656,0.778472765,0,0.998463
0,37.75,18.47,39.66,365.3200781,265.9663184,0.489271523,0,1.000136
0,37.75,18.47,39.66,365.3200781,265.9663184,0.489271523,0,1.000136
0,37.75,18.47,39.66,365.3200781,265.9663184,0.489271523,0,1.000136
0,37.75,18.47,39.66,365.3200781,265.9663184,0.489271523,0,1.000136
0,37.72,0.9,21.99,229.6671191,143.9996387,0.023860021,0.000613999,0.998967
0,37.64,0.92,5.22,8.165908203,5.567392578,0.024442083,0,1
0,37.64,0.92,5.22,8.165908203,5.567392578,0.024442083,0,1
0,37.54,11.46,23.6,178.8332715,121.5864355,0.305274374,0,0.999599
0,37.22,31.49,19.26,134.6173145,100.0202637,0.84605051,0,0.998653
0,37.22,31.49,19.26,134.6173145,100.0202637,0.84605051,0,0.998653
0,37.22,31.49,19.26,134.6173145,100.0202637,0.84605051,0,0.998653
0,37.07,37.06,15.94,91.46094727,67.63134766,0.99973024,0,0.998567
0,36.81,18.42,21.99,86.21521484,57.74060547,0.500407498,0,0.997186
0,36.81,18.42,21.99,86.21521484,57.74060547,0.500407498,0,0.997186
0,36.67,36.56,27.6,71.95790039,51.72766602,0.997000273,0,0.998972
0,36.62,36.59,27.5,72.78125977,54.41578125,0.999180776,0,0.998882
0,36.43,29.36,11.21,23.00160156,14.71265625,0.805929179,0,0.999291
0,36.23,15.72,21.54,66.84302734,50.54102539,0.433894563,0,0.99836
0,35.91,14.97,17.04,160.6058398,106.1166992,0.416875522,0,1
0,35.76,17.28,12.03,123.9643555,99.11328125,0.483221477,0,1
0,35.31,34.59,19.31,82.61097656,69.67994141,0.979609176,0,0.999302
0,35.31,0,20.79,43.08264648,31.39832031,0,0,0.996353
0,35.3,24.11,27.21,92.35889648,72.32349609,0.683002833,0,0.998851
0,35.19,2.29,24.08,174.509043,132.6114551,0.065075305,0,0.999877
0,35.07,0,24.95,91.52992188,68.16578125,0,0,0.99701
0,34.98,11.23,5.4,9.164560547,6.535283203,0.321040595,0,0.997839
0,34.98,0,9.27,27.6194043,22.00049805,0,0,0.998415
0,34.92,1.78,15.71,67.60914063,47.4731543,0.050973654,0,0.988372
0,34.68,2.34,22.62,52.9978125,38.14709961,0.067474048,0,0.996386
0,34.68,2.34,22.62,52.9978125,38.14709961,0.067474048,0,0.996386
0,34.57,1.21,17.91,30.92371094,21.32617188,0.035001446,0,0.999202
